Version,1.0,1.0.1,1.1.0,1.2.0,1.2.1,1.2.2,1.3.0,1.4.0,1.4.1,1.4.2,1.4.3,1.4.4,1.5.0,1.6.0,1.7.0,1.7.1,1.8.0,1.8.1
Device ID,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
Date,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
Time,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
Gain,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
Battery State,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
Timezone,,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
Recording Cancelled,,,,,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
Artist,,,,,,,,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
Temperature,,,,,,,,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
Amplitude Threshold,,,,,,,,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
Filter Type,,,,,,,,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
Higher Filter Freq,,,,,,,,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
Lower Filter Freq,,,,,,,,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
Deployment ID,,,,,,,,,,,,,✅,✅,✅,✅,✅,✅
External Microphone,,,,,,,,,,,,,✅,✅,✅,✅,✅,✅
Trigger Duration,,,,,,,,,,,,,,✅,✅,✅,✅,✅
